id,name,government,description,image_url
COL-00016,Amarna,Minya,"The First Capital of Monotheism
King Amenhotep IV (c.1352–1336 BC) led what is often described  as  a  “religious  revolution”  that  was  primarily  aimed  at  the  god  Amun,  whose  main  cult  center  was  in  Thebes  (modern  Luxor).  During  his  rule,  the  sun-disk,  “Aten”, came to be the only god that he worshipped. These changes  coincided  with  the  king  changing  his  name  to  ""Akhenaten"", which was followed by the founding of a new capital on virgin soil in Middle Egypt (in modern al-Minya Governorate): “Akhetaten” (The Horizon of Aten). Boundary stelae,  sixteen  of  which  have  been  discovered  so  far,  were  carved  in  the  hills  and  mountains  surrounding  the  city,  delimiting its territory. Akhetaten lies on the east bank of the  Nile,  where  it  is  bordered  by  the  hills  into  which  the  tombs of high officials were carved. Akhetaten has a clear layout: spanning the north-south length of the city is the Royal Road, on either side of which lie the most important royal,   religious,   and   administrative   buildings.   At   the   southern end of the Royal Road was the Royal Palace, and farther  down  the  Great  Aten  Temple.  Akhenaten’s  high  officials lived in luxurious homes surrounded by gardens, and   even   the   homes   of   artists   and   their   studios have been unearthed as well. After Akhenaten’s  death,  the  city  was  abandoned  and destroyed.","https://egymonuments.gov.eg/media/6751/1612174266924edit.jpg?center=0.2740963855421687,0.52036199095022628&mode=crop&width=645&height=423&rnd=134151936320000000"
COL-00017,Amenhotep III and Tiye Colossal Statue,Cairo,"This colossal statue depicts the royal couple, Amenhotep III and his wife Tiye, along with their three daughters. This is the largest known ancient Egyptian family group statue ever carved, and it is fitting that it dates to the reign of Amenhotep III, whose prosperous rule was marked by great such monumentality.
New Kingdom, Dynasty 18, reign of Amenhotep (c.1390–1352 BC)
Medium: Limestone
Provenance: Luxor","https://egymonuments.gov.eg/media/4792/20.jpg?crop=0.365709763470454,0.424034485816722,0.4061880467485241,0.35007065010327432&cropmode=percentage&width=645&height=423&rnd=134212380980000000"
COL-00018,Amphora,Alexandria,"A medium-sized pear-shaped earthenware vessel with two handles connecting the neck to the body. The neck ends with a ring-shaped rim that slopes slightly outwards. The body has cracks and traces of restoration, and the base is stripped to the bottom.
Date VI° c. B.C.E (-550/-525)
Medium: Ceramic
Provenance: Canope","https://egymonuments.gov.eg/media/8845/picture1.jpg?crop=0,0,0,0.508955223880597&cropmode=percentage&width=645&height=423&rnd=133989618450000000"
COL-00019,Amphora,Matrouh,a ceramic amphora discovered in,https://egymonuments.gov.eg/media/8830/picture1.jpg?anchor=center&mode=crop&width=645&height=423&rnd=133986977070000000
COL-00020,Amphora,Matrouh,"A conical ceramic amphora with a long, slightly swollen neck. Two handles extend from the upper body to the top of the neck. The base tapers to a pointed end. The surface shows traces of marine encrustation","https://egymonuments.gov.eg/media/8829/picture2.jpg?center=0.472,0.46846846846846846&mode=crop&width=645&height=423&rnd=133986975000000000"
COL-00021,"Astrolabe, Compass, Celestial sphere",Cairo,"Astrolabe, copper alloy, inlaid with gold and silver,
bearing the name Sultan Bayezid
9th AH/15th AD century-Turkey
Compass of copper inlaid with silver
Safavid period 12th century AH / 18 AD - Iran
Celestial sphere of copper by the work of the manufacturer Ziauddin Mohammed
The Ottoman era in 1070 AH - Egypt","https://egymonuments.gov.eg/media/4477/img_4193.jpg?crop=0,0.016393442622950821,0,0.00065355917433680851&cropmode=percentage&width=645&height=423&rnd=134224516110000000"
COL-00022,Belt of Prince Ptah-Shepses,Cairo,"Belt of Prince Ptah-Shepses made of gold, red carnelian
and volcanic glass
Date: Old Kingdom, dynasty 6, ca. 2323-2150
Medium :Gold
Provenance : Saqqara","https://egymonuments.gov.eg/media/6214/crown.jpg?crop=0,0.017554972400687548,0,0&cropmode=percentage&width=645&height=423&rnd=132581519560000000"
COL-00023,Bracelets of King Ramesses II,Cairo,"Gold and lapis lazuli bracelets of King Ramesses II
Dynasty 18, reign of King Ramesses II, ca. 1279–1213 BC
Medium: Gold and lapis lazuli
Provenance : Tall Basta, Eastern Delta",https://egymonuments.gov.eg/media/6213/dsc_9620-555555.jpg?anchor=center&mode=crop&width=645&height=423&rnd=134206342250000000
COL-00024,Bronze Mirror,Cairo,"A round mirror made of bronze, the face is polished, and the back is decorated with human and animal motifs inside small symmetrical circles, in addition to other decorations of intertwining plant branches and delicate rosettes. The mirror has a handle of the same type of metal, delimited by projections.
Both Egypt in the Mamluk period and Iran in the Mughal and Timurid periods knew the manufacture of metal mirrors as an important decorative tool that was used by princes and sultans. The decorative elements varied between human, animal, floral and inscriptions.
Mughal Period, (7th AH/ 13th AD) Century.
Medium: Bronze. 
Provenance: Iran.","https://egymonuments.gov.eg/media/6475/cap171.jpg?crop=0.0000000000000001263187085796,0.089343333333333344,0,0.37256131782945723&cropmode=percentage&width=645&height=423&rnd=134176118140000000"
COL-00025,"Bust of Neilos, god of the Nile",Alexandria,"A statue of a bearded man believed to be the Nile god.
Date: 2° cent A.D.
Medium: Graywacke
Provenance: Canope",https://egymonuments.gov.eg/media/8844/picture4.jpg?anchor=center&mode=crop&width=645&height=423&rnd=133989629560000000
COL-00026,Canopic Jars,Luxor,"In the mummification process, organs were removed to allow the preservation of the body. At the same time, the deceased needed them for his afterlife. For this reason, the four most important organs, aside from the heart, were embalmed separately, and stored in four corresponding vessels, called canopic jars. These were the liver, lungs, stomach, and intestines. They came to be placed under the protection of one deity each, collectively known as the Four Sons of Horus, each of whom was depicted with the head of a different animal: Imsety (human) who was responsible for the liver, Hapy (baboon) for the lungs, and Duamutef (jackal) and Qebehsenuef (falcon) for the stomach and intestines respectively.
Medium: Calcite/Alabaster","https://egymonuments.gov.eg/media/1485/12.jpg?center=0.14285714285714285,0.40875912408759124&mode=crop&width=645&height=423&rnd=132581519680000000"
COL-00027,Canopic Jars of Isetemkheb,Red Sea,"During the mummification process, certain organs of the deceased, namely the liver, lungs, intestines and stomach, would be mummified, wrapped separately and then placed in four “canopic” jars.
These jars are known from the Old Kingdom onwards, and display certain changes over time. Beginning in the New Kingdom, these jars were topped by the heads of the “Four Sons of Horus,” who functioned as guardians for the internal organs. As seen in this example, these deities took the form of a baboon, a jackal, a falcon and a man.
This beautiful set, which has retained much of its color, are painted with the name of their owner, Isetemkheb, who held the important title Chief of the Musical Troupe of Amun-Re. She was the wife of the High Priest of Amun Pinudjem II, and the mother of King Psusennes II.
Deir el-Bahari, TT 320 (First Royal Cachette)
Third Intermediate Period, Dynasty 21 (ca. 1069 – 945 BC)
Calcite","https://egymonuments.gov.eg/media/6866/6j7a0345.jpg?crop=0.14008277618592807,0.18148510327569939,0.14358484559057616,0.1884065627793963&cropmode=percentage&width=645&height=423&rnd=132586506800000000"
COL-00028,Canopic jars of a man called Ipi,Cairo,"Canopic jars were used by the Ancient Egyptians during the mummification process to store and preserve the viscera of the deceased for the afterlife. The Canopic jars were four in number, each for the safekeeping of particular human organs: the stomach, intestines, lungs, and liver, all of which, it was believed, would be needed in the afterlife. In the begging, the lids of these jars were flat then they were human-headed to resemble the deceased. Since the 18th dynasty these lids took the form of four deities known as “Four Sons of Horus” and the viscera were placed under their protection. The ape-headed “Hapi” protects the lungs, the human-headed “Imsety” preserves the liver, the jackal-headed “Duamutef” guards the stomach and the falcon-headed “Qebehsenuef” guards the intestines.
New Kingdom.
Medium: Limestone, Painted.
Provenance: Unknown .
","https://egymonuments.gov.eg/media/6487/cap391.jpg?crop=0.15137614678899083,0.28253349065311789,0.16055045871559634,0.24371518847108056&cropmode=percentage&width=645&height=423&rnd=134164004750000000"
COL-00029,Caravan,Cairo,"It is a large four-wheeled wooden carriage that is unusually covered with zinc plates. Made in England, reign of khedive khedive ismail (r. 1863- 1879).
It was used for the transportation of furniture and kitchen supplies. It is equipped with front seat for the coachman, a rear door and iron handrails fixed at the top of the carriage box. it was driven by two coachmen and pulled by two pairs of horses.","https://egymonuments.gov.eg/media/6443/img-20201111-wa0076.jpg?crop=0,0,0,0.50813953488372088&cropmode=percentage&width=645&height=423&rnd=134176140820000000"
COL-00030,Chinese Hall (Bayt Amna bint salim),Cairo,"The hall contains the most beautiful pieces of Chinese-style furniture, including chairs, table, paintings, and a wooden ceiling decorated with geometric and floral patterns.",https://egymonuments.gov.eg/media/6499/dsc_8923.jpg?anchor=center&mode=crop&width=645&height=423&rnd=134163991520000000
COL-00031,Coffin of King Ramses II,Cairo,"Coffin of King Ramses II
Medium: Wood
Provenance :Deir el-Bahari cache in Thebes 1881","https://egymonuments.gov.eg/media/6486/33-3.jpg?crop=0.20283910138306963,0.11721707927513147,0.22308797017428053,0.13076839291828685&cropmode=percentage&width=645&height=423&rnd=134164009610000000"
COL-00032,Coin with Head of Ptolemy I,Alexandria,"A semi-circular coin with an eagle spreading its wings on one side and Greek letters on the other side, and a royal face on the other side.
Date: 3°cent.  B.C (-295/-285)
Medium: Gold
Provenance: Heracleion",https://egymonuments.gov.eg/media/8850/%D8%B9%D9%85%D9%84%D8%A9-%D8%B9%D9%84%D9%8A%D9%87%D8%A7-%D8%B1%D8%A3%D8%B3-%D8%A8%D8%B7%D9%84%D9%8A%D9%85%D9%88%D8%B3-%D8%A7%D9%84%D8%A3%D9%88%D9%84.jpg?anchor=center&mode=crop&width=645&height=423&rnd=133989619870000000
COL-00033,Collection of Watches,Alexandria,"A collection of pocket watches made of gold in different shapes, some with pictures of people, others with names and other decorations.
Date :Mohammed Ali dynasty
 Medium: gold
Provenance :Egypt
",https://egymonuments.gov.eg/media/4518/s16-02-22l.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519580000000
COL-00034,Column with Hathor Capital,South Sinai,"The four sides of the capital of this column are decorated with the face of the goddess Hathor, depicted with a woman's face and cow ears, topped by the representation of a shrine façade. The whole is made to look like a sistrum, a musical instrument; the shaft of the column is inscribed with the name of King Apries, who is described as being the beloved of the goddess Neith the Lady of Sais, the 26th Dynasty capital in the western Delta.
Late Period, 26th Dynasty, Apries (c.589–570 BC)","https://egymonuments.gov.eg/media/6359/sh91.jpg?crop=0,0.005930160211541453,0,0.38201762001396283&cropmode=percentage&width=645&height=423&rnd=134188238980000000"
COL-00035,Dagger,Cairo,the dagger is one of the oldest weapons used by the ancient Egyptians for self-defence. History: Ancient Egyptian. Material: Wood-Copper.,"https://egymonuments.gov.eg/media/7760/picture2.jpg?center=0.45614035087719296,0.43396226415094341&mode=crop&width=645&height=423&rnd=132892181240000000"
COL-00036,Damascene Hall( Bayt Amna bint salim).,Cairo,"The hall was distinguished by a room dating back to a Damascene palace that contained a bed, chairs, and a copper table with movable wooden legs. The hall was flogged with wood decorated with inscriptions, house drawings and flowered plants, and the hall had a number of metal artifacts.",https://egymonuments.gov.eg/media/1185/2-damascene-hall.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519700000000
COL-00037,Deception weapons,Cairo,"a rifle disguised as a walking cane with a curved handle shaped like the head of a snake. Date: Ottoman Period. Material: wood-ivory.
","https://egymonuments.gov.eg/media/7798/%D8%B9%D9%83%D8%A7%D8%B2.jpg?center=0.63414634146341464,0.17818181818181819&mode=crop&width=645&height=423&rnd=132892210350000000"
COL-00038,Decorated niche of Virgin Mary,Cairo,"Decorated  Niche of Virgin Mary suckling  the infant Jesus.
Excavations at the Monastery of St. Jeremiah in Saqqara have yielded several niches that were pierced into the eastern walls of monks’ cells. Monks used these niches as spaces in which to pray. These niches bear Christian scenes showing the enthroned Jesus. Two niches are decorated with the Virgin Mary nursing the infant Jesus. She is depicted flanked by angels and saints.
Date: 6th or 7th century A.D
Mideum:Tempera 
Monastery of St. Jeremiah - Saqqara","https://egymonuments.gov.eg/media/2683/1.jpg?crop=0,0.23182409817776126,0,0.32917808989249914&cropmode=percentage&width=645&height=423&rnd=132581519660000000"
COL-00039,Defensive weapons,Cairo,an oval shield with handle in middle. Date: Ottoman period. Material: Wood - leather and -turtle shell.,"https://egymonuments.gov.eg/media/7761/%D8%AF%D8%B1%D8%B9-%D9%85%D9%86-%D8%A7%D9%84%D8%B9%D8%B5%D8%B1-%D8%A7%D9%84%D8%B9%D8%AB%D9%85%D8%A7%D9%86%D9%89.jpg?center=0.48658318425760289,0.36986301369863012&mode=crop&width=645&height=423&rnd=132892184190000000"
COL-00040,Djed Column,Luxor,"The djed column was a symbol of stability and continuity. It was a stylized depiction of a tree whose branches have been bundled up by means of ropes. It is a symbol that is very closely tied with Osiris, the god of the dead and vegetation. An ancient Egyptian ritual consisted of erecting a djed column, which symbolized the resurrection of Osiris and by extension all plant life. Later in ancient Egyptian history, it came to be identified as the backbone of Osiris. Amulets were often shaped like the djed column to protect its wearer in death and in life.","https://egymonuments.gov.eg/media/4829/0_079.jpg?center=0.46223564954682778,0.52292020373514436&mode=crop&width=645&height=423&rnd=134206391100000000"
COL-00041,Door of silver laminated wood,Cairo,A door of silver laminated wood dating back to the era of the family of Muhammad Ali 13th A.H - 19th A.D century.,"https://egymonuments.gov.eg/media/4369/door3.jpg?crop=0.0088652482269504854,0,0,0&cropmode=percentage&width=645&height=423&rnd=132581519590000000"
COL-00042,Ewer made of copper,Cairo,"Ewer made of copper decorated in enamel and gold.
Date: 13th A.H/ 19th A.D century.
Mideum:copper
 Provinence: Iran - Qajar.","https://egymonuments.gov.eg/media/4683/img_4213_new.jpg?crop=0,0.49013157894736847,0,0.073018665850673084&cropmode=percentage&width=645&height=423&rnd=132581519580000000"
COL-00043,First manual fire- engine,Cairo,"a primitive, English-made fire engine. It consists of a simple rectangular box that rests on four wheels. It was pulled by horses to the site of the fire.  Date: Ottoman period, 1766. Material: wood.",https://egymonuments.gov.eg/media/7800/%D8%A3%D9%88%D9%84-%D8%B9%D8%B1%D8%A8%D8%A9-%D8%A7%D8%B7%D9%81%D8%A7%D8%A1.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132892200460000000
COL-00044,Footman’s livery worn,Cairo,"Footman’s livery worn by the one who used to run alongside the carriage during official processions. The footman was responsible for preparing the carriage, guarding it and clearing the way with a bamboo stick in the morning and holding out a torch at night.","https://egymonuments.gov.eg/media/6356/20200711-royal-carriages-museum-pre-opening-192-472x1280.jpg?crop=0,0.023955946180555555,0,0.73421265847060724&cropmode=percentage&width=645&height=423&rnd=134188244750000000"
COL-00045,Foundation Plaque of Ptolemee III,Alexandria,"A gold plate with a Greek inscription consisting of six rectangular lines.
 Date: 246-221 BC
Medium: Gold
Provenance: Heracleion",https://egymonuments.gov.eg/media/8843/whatsapp-image-2025-08-15-at-22555-pm.jpeg?anchor=center&mode=crop&width=645&height=423&rnd=133999101640000000
COL-00046,Funerary stela,Cairo,,"https://egymonuments.gov.eg/media/7122/%D9%84%D9%88%D8%AD%D8%A9-%D8%AC%D9%86%D8%A7%D8%A6%D8%B2%D9%8A%D8%A9.jpg?center=0.47183098591549294,0.5&mode=crop&width=645&height=423&rnd=132657629310000000"
COL-00047,Gold Dinar Coin,Cairo,"On the obverse of the dinar is the name of the Mamluk Sultan Baybars and his title ""Qasim is the Commander of the Faithful."" Below it an illustration of a lion, representing the ruler. On the reverse is written ""in the name of God, there is no god but Allah, Muhammad is the Messenger of Allah."" Initially, Muslims used coins minted by the Sassanids and Byzantines. The Umayyad Caliph Abd al-Malik ibn Marwan coined the first dinar bearing Arabic writing in the year 77. The currency hence prevalent in Muslim empires were dinars, dirhams, and copper coins.
Mamluk (7 AH / 13A)
Medium: gold
Provenance: Egypt or the Levant.","https://egymonuments.gov.eg/media/6492/cap431.jpg?crop=0,0.16726591760299628,0,0.19165752112185336&cropmode=percentage&width=645&height=423&rnd=134164000230000000"
COL-00048,Golden Chess Set,Alexandria,"This luxurious chess set consists of 32 chess pieces inlaid with 425 stones from diamonds and decorated with colored enamel. The chess pieces take the form of humans and animals. The human pieces reflect the rank of their chess counterparts, with the king piece representing the person of a ruler, and the pawns riflemen. The bases of the pieces bear colored enamel paintings of historic personalities and buildings.
Date: Muhammed Ali Dynasty, King Faruq (1936–1952 AD).
Medium: Gold, precious stones.
Provenance: Iran.",https://egymonuments.gov.eg/media/4351/15.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132865514030000000
COL-00049,Golden set of collection Malak Tosson,Alexandria,"Golden set consists of brush, cups and sword decorated with floral motifs and the letter “M”.
Date :Mohammed Ali dynasty
Medium: gold
Provenance :Egypt",https://egymonuments.gov.eg/media/4486/f10-03-07l.jpg?anchor=center&mode=crop&width=645&height=423&rnd=134218496100000000
COL-00050,Granite statue of King Thutmose III,Cairo,"Granite statue of King Thutmose III
Medium: Granite
Provenance : Karnak","https://egymonuments.gov.eg/media/6484/koooooo1.jpg?center=0.183206106870229,0.46285714285714286&mode=crop&width=645&height=423&rnd=134170131510000000"
COL-00051,Haramlek (Winter Hall-Bayt al-Kritliyya),Cairo,"It is the private residence for women and contains many wall cabinets made of decorated wood and the restaurant, pieces of wooden furniture, metal antiques, chandeliers, metal incense burners and lighting paths.",https://egymonuments.gov.eg/media/6521/10-womens-hall-haramlik.jpg?anchor=center&mode=crop&width=645&height=423&rnd=134163985930000000
COL-00052,Haramlek(Bayt Amna bint salim).,Cairo,"The hall contains chairs, an oval table, a mashrabiya, and some cupboards that contain many glass artifacts, porcelain dishes, a hanging carpet and some inscriptions.",https://egymonuments.gov.eg/media/1182/dsc_8998.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519700000000
COL-00053,Head of Hatshepsut,South Sinai,"Head an Osirid (mummiform) statue of Queen Hatshepsut that stood in front of the pillars of the upper colonnade of her funerary temple. The bottom of the Red Crown of Lower Egypt can be seen. She had a ceremonial beard in compliance with the iconography expected of a pharaoh, but nevertheless the wide eyes with extended cosmetic lines, the gently curving eyebrows and the full cheeks bear distinctive feminine features.
New Kingdom, 18th Dynasty, Hatshepsut (c. 1498-1483 BC)
Luxor, Deir al-Bahari, Hatshepsut funerary temple
Limestone, painted","https://egymonuments.gov.eg/media/6340/sh21h.jpg?center=0.59712230215827333,0.56557377049180324&mode=crop&width=645&height=423&rnd=134194261390000000"
COL-00054,Head of Thutmose I,South Sinai,"Head of an Osirian (mummiform) statue of King Thutmose I,  father of Queen Hatshepsut, with a curved ceremonial beard. It bears the typical thutmoside facial features of early to mid-18th Dynasty royal statuary, especially the wide eyes and the slight smile.
New Kingdom, 18th Dynasty, Thutmose I (c.1504–1492 BC)
Provenance: Luxor, Karnak temple, Wadjet Hall
Medium: Sandstone, painted",https://egymonuments.gov.eg/media/6350/sh21c.jpg?anchor=center&mode=crop&width=645&height=423&rnd=134188274900000000
COL-00055,Helmet,Cairo,"A helmet to protect the head and nose, it has a decorative element which looks like a short spear. It is engraved with floral decorations and writing. Date: Mamluk period. Material: Steel.",https://egymonuments.gov.eg/media/7811/%D8%AE%D9%88%D8%B0%D8%A9-%D9%85%D9%85%D9%84%D9%88%D9%83%D9%8A.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132892197410000000
